PLAYER_NAME,Team,Class,Height,Position,PLAYER_ID,TEAM_NAME,GAMES,MINUTES_PLAYED,FIELD_GOALS_MADE,FIELD_GOAL_ATTEMPTS,FIELD_GOAL_PERCENTAGE,THREE_POINTS_MADE,THREE_POINT_ATTEMPTS,THREE_POINT_PERCENTAGE,FREE_THROWS_MADE,FREE_THROW_ATTEMPTS,FREE_THROW_PERCENTAGE,OFFENSIVE_REBOUNDS,DEFENSIVE_REBOUNDS,TOTAL_REBOUNDS,ASSISTS,TURNOVERS,STEALS,BLOCKS,FOULS,POINTS
Kiara Jackson, UNLV (Mountain West),Junior,67,Guard,ncaaw.p.67149,UNLV,29,895,128,291,44,28,69,40.6,39,52,75,27,102,129,135,42,31,5,47,323
Raven Johnson, South Carolina (SEC),Sophomore,68,Guard,ncaaw.p.67515,South Carolina,30,823,98,216,45.4,20,59,33.9,27,42,64.3,33,128,161,148,53,60,5,34,243
Gina Marxen, Montana (Big Sky),Senior,68,Guard,ncaaw.p.57909,Montana,29,778,88,231,38.1,58,152,38.2,63,87,72.4,6,54,60,111,38,16,2,26,297
McKenna Hofschild, Colorado St. (Mountain West),Senior,62,Guard,ncaaw.p.60402,Colorado St.,29,1046,231,498,46.4,55,138,39.9,137,164,83.5,6,109,115,211,71,36,4,34,654
Kaylah Ivey, Boston College (ACC),Junior,68,Guard,ncaaw.p.64531,Boston Coll.,33,995,47,170,27.6,32,115,27.8,17,28,60.7,12,45,57,186,64,36,1,48,143
Bailey Butler, Green Bay (Horizon),Junior,67,Guard,ncaaw.p.67085,Green Bay,31,919,86,223,38.6,29,102,28.4,50,59,84.7,17,71,88,164,55,66,4,64,251
Rose Nkumu, Marquette (Big East),Senior,69,Guard,ncaaw.p.64492,Marquette,30,971,73,149,49,21,54,38.9,48,60,80,4,61,65,145,51,50,7,61,215
DeeDee Hagemann, Michigan St. (Big Ten),Junior,68,Guard,ncaaw.p.66913,Memphis,29,907,118,230,51.3,41,99,41.4,83,110,75.5,11,59,70,148,53,28,4,41,360
Maya McDermott, UNI (MVC),Junior,66,Guard,ncaaw.p.64668,Northern Iowa,28,764,162,374,43.3,47,142,33.1,74,77,96.1,9,71,80,97,38,30,0,24,445
Endyia Rogers, Texas A&M (SEC),Senior,67,Guard,ncaaw.p.60883,Texas A&M,25,689,114,291,39.2,47,138,34.1,38,44,86.4,14,86,100,98,34,32,7,38,313
