conference,players,avg_pts,avg_ast,avg_reb
NY,3,410.7,56.3,134.3
ACC,42,383.7,77.3,169.4
Big Ten,42,378.5,87.3,158.7
SEC,49,361.0,74.5,165.8
Sun Belt,39,359.1,63.7,157.6
Summit League,22,358.5,70.6,149.2
Big East,27,353.7,84.0,168.1
Horizon,24,352.6,68.3,159.6
Pac-12,42,351.5,74.5,157.2
Big Sky,21,349.4,72.2,162.9
Ivy League,17,346.9,75.9,148.2
WCC,20,346.4,85.3,136.0
AAC,40,345.5,63.3,158.6
Big 12,44,343.9,73.2,154.4
MAC,24,341.0,70.8,154.8
Atlantic 10,37,339.3,69.5,142.4
OVC,24,334.8,69.9,152.8
America East,17,332.2,68.4,170.6
Patriot,18,331.6,61.3,154.2
MVC,33,330.2,76.0,143.9
SoCon,16,327.6,57.8,173.3
Big South,18,320.1,62.2,158.6
WAC,28,317.0,73.2,152.6
Big West,28,312.8,56.6,137.1
Mountain West,28,311.0,66.7,143.6
CUSA,22,309.6,64.8,143.6
NEC,13,303.3,56.1,122.2
CAA,35,296.0,63.0,149.4
ASUN,21,295.9,51.4,145.6
MAAC,29,289.6,63.2,150.7
SWAC,26,285.2,51.0,148.1
Southland,21,273.5,55.4,136.4
MEAC,13,254.9,47.9,158.6
DI Independent,1,248.0,41.0,198.0
FL,3,244.0,68.3,101.7
OH,2,242.5,63.0,145.0
CA,5,208.8,69.2,107.2
PA,1,105.0,97.0,101.0
