PLAYER_NAME,TEAM_NAME,POINTS,TOTAL_REBOUNDS,ASSISTS,all_around_score
Caitlin Clark,Iowa,1020,234,282,1536.0
JuJu Watkins,USC,801,213,96,1110.0
Hannah Hidalgo,Notre Dame,725,200,170,1095.0
Lauren Gustin,BYU,545,490,58,1093.0
Rachael Rose,Wofford,670,250,163,1083.0
Elizabeth Kitley,Virginia Tech,661,330,52,1043.0
Macy McGlone,Eastern Illinois,588,392,55,1035.0
Kiki Iriafen,USC,596,353,67,1016.0
Daisha Bradford,LA Monroe,619,244,142,1005.0
Adrianna Smith,Maine,506,345,145,996.0
Liatu King,Notre Dame,598,329,57,984.0
McKenna Hofschild,Colorado St.,654,115,211,980.0
Cameron Brink,Stanford,533,357,86,976.0
Angel Reese,LSU,536,367,66,969.0
Lucy Olsen,Iowa,697,144,115,956.0
