PLAYER_NAME,TEAM_NAME,POINTS
Caitlin Clark,Iowa,1020
JuJu Watkins,USC,801
Hannah Hidalgo,Notre Dame,725
Lucy Olsen,Iowa,697
Ta'Niya Latson,Florida St.,680
Paige Bueckers,Connecticut,671
Rachael Rose,Wofford,670
Alissa Pili,Utah,666
Elizabeth Kitley,Virginia Tech,661
Dyaisha Fair,Syracuse,660
Chellia Watson,Buffalo,658
McKenna Hofschild,Colorado St.,654
Temira Poindexter,Kansas St.,644
Terren Ward,Mississippi St.,637
Edyn Battle,Jacksonville,632
Daisha Bradford,LA Monroe,619
Chloe Webb,California Baptist,617
Alexis Hutchison,Wright St.,615
Danae McNeal,East Carolina,611
Tess Heal,Stanford,608
Kaitlin Peterson,UCF,599
Liatu King,Notre Dame,598
Jada Guinn,Chattanooga,598
Delanie Crawford,Tulsa,598
Kiki Iriafen,USC,596
Domonique Davis,Southern Miss,594
Macy McGlone,Eastern Illinois,588
Faith Alston,Richmond,586
Kyla McMakin,Saint Louis,585
Raegan McCowan,Western Ill.,583
Mackenzie Holmes,Indiana,579
Yvonne Ejim,Gonzaga,579
Izzy Higginbottom,Arkansas,577
Georgia Amoore,Kentucky,575
Katelyn Young,Murray St.,571
Aaliyah Edwards,Connecticut,568
Katie Dinnebier,Drake,561
Anne Simon,Maine,560
Abbey Hsu,Columbia,556
Mickayla Perdue,Cleveland St.,551
Unique Drake,St. John's,549
Aliyah Matharu,Baylor,547
Lauren Gustin,BYU,545
Dazia Lawrence,Kentucky,545
Peyton Kennedy,Saint Louis,542
Kacie Borowicz,North Dakota,542
Kaitlyn Zarycki,W. Michigan,540
Jacy Sheldon,Ohio St.,539
Desi-Rae Young,UNLV,539
Laila Phelia,Texas,539
Leilani Correa,Florida,538
Angel Reese,LSU,536
Ahriahna Grizzle,Florida A&M,536
Audi Crooks,Iowa St.,535
Amari Robinson,Clemson,535
Colbi Maples,Cleveland St.,534
Liza Karlen,Notre Dame,534
Kurstyn Harden,S.F. Austin,534
Cameron Brink,Stanford,533
Sarah Ashlee Barker,Alabama,533
Grace Berg,Drake,527
Zanai Barnett-Gay,Navy,527
Savannah Wheeler,Middle Tenn. St.,524
Aneesah Morrow,LSU,524
Laniah Randle,Missouri,524
Milahnie Perry,Air Force,522
Honesty Scott-Grayson,Auburn,522
